method,success,fell,final_distance,mean_distance,max_distance,last50_distance,total_reward,control_magnitude,mean_compute_time,steady_state_error,steady_state_rmse,steady_state_max_error,settled,settling_step,settling_time_sec,success_rate,fall_rate,settled_rate
pd,1.0,0.0,0.0006794702494516969,0.031646162271499634,0.19509056210517883,0.0021338127553462982,294.36444091796875,0.02409583516418934,2.6482748580747284e-06,0.0021338127553462982,0.002238504122942686,0.0028625279664993286,1.0,66.1500015258789,1.3229999542236328,1.0,0.0,1.0
lqr,1.0,0.0,1.6343317810196822e-09,0.016164515167474747,0.19412866234779358,1.1666781318808717e-08,295.0525207519531,0.02215586230158806,2.677199063327862e-06,1.1666781318808717e-08,1.5375169581943737e-08,3.7734242397391426e-08,1.0,29.5,0.5899999737739563,1.0,0.0,1.0
analytic_mpc,1.0,0.0,0.000393319089198485,0.014618411660194397,0.194227933883667,0.0004631224146578461,294.59417724609375,0.04399433359503746,0.01299943309277296,0.0004631224146578461,0.0005008431617170572,0.0008116690441966057,1.0,25.649999618530273,0.512999951839447,1.0,0.0,1.0
rssm_cem,1.0,0.0,0.004938894417136908,0.025940243154764175,0.1949838250875473,0.005486420355737209,295.32122802734375,0.032679278403520584,0.020456211641430855,0.005486420355737209,0.005666926968842745,0.007367664482444525,1.0,36.25,0.7250000238418579,1.0,0.0,1.0
rssm_cem_gd,1.0,0.0,0.004799902439117432,0.026031840592622757,0.19491025805473328,0.004343216773122549,295.31707763671875,0.02759513258934021,0.1799023598432541,0.004343216773122549,0.004481674637645483,0.005979400593787432,1.0,38.45000076293945,0.7689999341964722,1.0,0.0,1.0
